"country","crimeRateByCountry_crimeIndex","CrimeRate_OverallCriminalityScoreGOCI","CrimeRate_CriminalMarketsScore","CrimeRate_CriminalActorsScore","CrimeRate_ResilienceScore","CrimeRateSafetyIndex"
"India",44.4,5.75,6.7,4.8,5.42,55.6
"Canada",null,3.88,3.87,3.9,7.21,null
"China",60.8,6.37,6.53,6.2,5.67,39.2
"United States of America",49.2,5.67,5.83,5.5,7.13,50.8
"Indonesia",45.9,6.85,6.6,7.1,4.25,54.1
"Pakistan",42.8,6.03,6.27,5.8,3.96,57.2
"Nigeria",65.8,7.28,7.37,7.2,5.79,34.2
"Brazil",66.1,6.77,6.93,6.6,4.92,33.9
"Bangladesh",62.5,5.12,5.03,5.2,4.42,37.5
"Russia",39.7,6.87,6.83,6.9,3.79,60.3
"Ethiopia",51.4,5.68,6.07,5.3,4.75,48.6
"Mexico",54.1,7.57,8.13,7,4.21,45.9
"Japan",22.9,4.28,3.87,4.7,7.38,77.1
"Egypt",47,5.05,5.1,5,3.83,53
"Philippines",42.6,6.63,6.57,6.7,4.21,57.4
"DR Congo",null,7.35,6.2,8.5,2.38,null
"Vietnam",44.1,6.55,6.5,6.6,4.79,55.9
"Iran",49.8,7.03,7.37,6.7,3.13,50.2
"Turkey",40.2,7.03,6.77,7.3,3.38,59.8
"Germany",38,5.33,5.47,5.2,7.5,62
"Thailand",null,6.18,6.77,5.6,4.79,null
"United Kingdom",46.9,5.75,5.5,6,7.54,53.1
"Tanzania",38.3,6.2,6.4,6,4.13,61.7
"France",54.6,5.82,5.93,5.7,6.96,45.4
"South Africa",75.5,7.18,6.87,7.5,5.63,24.5
"Italy",47.3,6.22,5.73,6.7,6.46,52.7
"Kenya",56.8,7.02,6.93,7.1,5.33,43.2
"Myanmar",50,8.15,7.7,8.6,1.63,50
"Colombia",null,7.75,7.3,8.2,5.63,null
"South Korea",25.3,4.43,3.57,5.3,8.08,74.7
"Sudan",45.5,6.37,5.23,7.5,2.71,54.5
"Uganda",55.9,6.55,6.4,6.7,3.88,44.1
"Spain",35.8,5.9,5.7,6.1,6.75,64.2
"Algeria",51.4,4.88,5.17,4.6,4.38,48.6
"Iraq",46,7.13,6.27,8,3.21,54
"Argentina",64,5,4.5,5.5,5.96,36
"Afghanistan",78.4,7.1,7,7.2,1.5,21.6
"Yemen",null,6.57,5.63,7.5,1.75,null
"Poland",29.2,4.48,4.97,4,5.88,70.8
"Morocco",47.1,4.8,5.1,4.5,4.63,52.9
"Angola",65.8,5.58,5.17,6,4.5,34.2
"Ukraine",46.8,6.48,6.27,6.7,4.54,53.2
"Uzbekistan",31.3,4.95,4.6,5.3,3.88,68.7
"Malaysia",51.6,6.23,6.67,5.8,5.92,48.4
"Mozambique",63.7,6.2,5.9,6.5,3.29,36.3
"Ghana",44.1,5.8,6,5.6,5.46,55.9
"Peru",67.5,6.4,6.2,6.6,4.38,32.5
"Saudi Arabia",24.3,6.23,6.57,5.9,4,75.7
"Madagascar",null,5.58,5.27,5.9,3.33,null
"Ivory Coast",57.5,6.02,5.93,6.1,5.13,42.5
"Nepal",37.5,6.57,6.03,7.1,4,62.5
"Cameroon",null,6.27,6.23,6.3,3.17,null
"Venezuela",82.1,6.72,6.03,7.4,1.88,17.9
"Niger",null,5.7,5.7,5.7,3.46,null
"Australia",46.7,4,4.3,3.7,7.38,53.3
"North Korea",50.7,4.82,5.73,3.9,1.79,49.3
"Syria",69.1,7.07,6.43,7.7,1.92,30.9
"Mali",null,5.93,6.47,5.4,2.38,null
"Burkina Faso",53,5.92,5.83,6,3.46,47
"Taiwan",16.1,null,null,null,null,83.9
"Sri Lanka",42.2,4.92,4.83,5,3.42,57.8
"Malawi",null,4.48,4.77,4.2,4.58,null
"Zambia",47.9,4.73,4.47,5,4.54,52.1
"Kazakhstan",46.4,4.47,4.33,4.6,4.54,53.6
"Chad",58.7,5.5,5.1,5.9,2.42,41.3
"Chile",25.8,5.18,5.07,5.3,6.17,74.2
"Romania",32.8,4.58,5.27,3.9,6,67.2
"Somalia",66.7,6.13,5.27,7,1.79,33.3
"Senegal",null,5.52,5.53,5.5,5.79,null
"Guatemala",60.1,6.6,6.1,7.1,4.08,39.9
"Netherlands",26.2,4.97,5.23,4.7,7.46,73.8
"Ecuador",60.7,7.07,6.73,7.4,4.88,39.3
"Cambodia",44.8,6.85,6.7,7,3.63,55.2
"Zimbabwe",60.6,5.47,5.03,5.9,3.13,39.4
"Guinea",null,4.58,4.77,4.4,3.13,null
"Benin",null,5.32,5.43,5.2,3.5,null
"Rwanda",27.3,3.6,4,3.2,5.54,72.7
"Burundi",64.2,4.87,4.63,5.1,2.17,35.8
"Bolivia",62,4.95,5,4.9,4.83,38
"Tunisia",44.7,4.45,5,3.9,4.5,55.3
"South Sudan",null,6.32,5.13,7.5,1.88,null
"Haiti",78.3,5.93,5.77,6.1,2.46,21.7
"Belgium",48.9,4.43,5.17,3.7,7.04,51.1
"Jordan",40.7,4.93,4.87,5,5.58,59.3
"Dominican Republic",null,5.02,5.13,4.9,4.79,null
"United Arab Emirates",14.6,6.37,7.03,5.7,5.13,85.4
"Cuba",32.2,3.37,3.63,3.1,5.38,67.8
"Honduras",74.3,7.05,6,8.1,4.08,25.7
"Czech Republic",26.8,4.68,4.87,4.5,6.42,73.2
"Sweden",48.1,4.7,4.6,4.8,7.46,51.9
"Tajikistan",54.4,5.45,4.8,6.1,2.58,45.6
"Papua New Guinea",80.4,5.72,5.33,6.1,3.29,19.6
"Portugal",30.7,4.88,4.67,5.1,6.5,69.3
"Azerbaijan",31.7,4.8,4.1,5.5,3.96,68.3
"Greece",46.5,5.35,4.7,6,5.17,53.5
"Hungary",33.8,4.62,4.73,4.5,4.88,66.2
"Togo",null,5.23,4.77,5.7,4.5,null
"Israel",32.2,4.85,5,4.7,6.08,67.8
"Austria",27.6,4.13,4.17,4.1,7.5,72.4
"Belarus",51.4,5.87,5.33,6.4,3.25,48.6
"Switzerland",24.9,4.87,4.63,5.1,7.04,75.1
"Sierra Leone",null,4.95,4.6,5.3,4.04,null
"Laos",null,6.12,6.33,5.9,3.46,null
"Turkmenistan",null,4.4,4.4,4.4,2.21,null
"Hong Kong",21.7,null,null,null,null,78.3
"Libya",60.4,6.93,6.57,7.3,1.54,39.6
"Kyrgyzstan",53.9,5.32,4.63,6,3.83,46.1
"Paraguay",50.6,7.52,6.73,8.3,3.42,49.4
"Nicaragua",50.2,5.72,5.23,6.2,2.08,49.8
"Bulgaria",37.5,5.65,5.4,5.9,5.33,62.5
"Serbia",38.5,6.22,5.73,6.7,4.96,61.5
"El Salvador",62.1,5.92,5.43,6.4,3.21,37.9
"Republic of the Congo",null,4.78,4.47,5.1,3.25,null
"Denmark",26.6,4.02,4.33,3.7,8.13,73.4
"Singapore",23.1,3.47,3.93,3,7.83,76.9
"Lebanon",46.5,7.1,6.3,7.9,3.46,53.5
"Finland",26.5,2.98,3.27,2.7,8.63,73.5
"Liberia",null,5.5,5.4,5.6,3.25,null
"Norway",32.5,3.75,4.1,3.4,7.92,67.5
"Slovakia",31.3,4.72,4.73,4.7,5.29,68.7
"Palestine",41.2,null,null,null,null,58.8
"Central African Republic",null,6.75,5.6,7.9,1.79,null
"Oman",19.6,4.4,4.9,3.9,5.21,80.4
"Ireland",46.1,5.08,5.17,5,7.33,53.9
"New Zealand",47.1,4.08,3.77,4.4,7.88,52.9
"Mauritania",null,4.38,4.27,4.5,3.13,null
"Costa Rica",53.7,5.53,5.37,5.7,5.63,46.3
"Kuwait",32.6,5.2,5.7,4.7,5.54,67.4
"Panama",44.1,6.98,6.67,7.3,4.67,55.9
"Croatia",26.1,5.15,4.9,5.4,5.92,73.9
"Georgia",null,3.6,3.6,3.6,5.25,null
"Eritrea",null,3.97,3.93,4,2.33,null
"Mongolia",53.5,4.12,3.83,4.4,5.21,46.5
"Uruguay",51.9,3.22,3.33,3.1,7.5,48.1
"Puerto Rico",61.7,null,null,null,null,38.3
"Bosnia and Herzegovina",42.5,5.85,5.3,6.4,3.88,57.5
